frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1736504530.358868000	42	68:3e:26:98:82:67	ff:ff:ff:ff:ff:ff									1	68:3e:26:98:82:67	192.168.0.163	00:00:00:00:00:00	192.168.0.1		
1736504530.370019000	42	b0:0a:d5:d3:d2:2b	68:3e:26:98:82:67									2	b0:0a:d5:d3:d2:2b	192.168.0.1	68:3e:26:98:82:67	192.168.0.163		
1736504530.371571000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.375225000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.375310000	58	b0:0a:d5:d3:d2:2b	68:3e:26:98:82:67	192.168.0.1	192.168.0.163	80	20											
1736504530.377912000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.378683000	58	b0:0a:d5:d3:d2:2b	68:3e:26:98:82:67	192.168.0.1	192.168.0.163	80	20											
1736504530.380221000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.381939000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.386162000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.390071000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.393653000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.395485000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.397191000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.398705000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.400355000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.402390000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.407464000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.409708000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.411629000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.413234000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.414790000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.416420000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.417938000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.419446000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.421269000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.422996000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.424517000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.428200000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.429844000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.432836000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
